提示:抓紧时间找出程序猿真身,Nhắc nhở: Tranh thủ thời gian tìm ra thân phận thật của Lập Trình Viên
使用可获得190万元宝,Dùng nhận 190 vạn KNB
仙器冲榜·贰,Tiên khí 2
第594关,Ải 594
第19章,Chương 19
1810四象找回绑玉,1810 Tứ Tượng Tìm Lại Ngọc Khóa
孤月圆刀·碎片,Cô Nguyệt Viên Đao (Mảnh)
剑灵属性<color='#95d12b'>+2%</color>\n<color='#95d12b'>剑灵基础属性越高百分比获得战力越多</color>,"Thuộc tính Kiếm Linh <color='#95d12b'>+2%</color>\n<color='#95d12b'>Thuộc tính cơ bản của Kiếm Linh càng cao, tỷ lệ lực chiến nhận được càng nhiều</color>"
三国,Tam quốc
500贡玉,500 Cống Hiến
第873关,Ải 873
开启<color='#95d12b'>「桃花源居」</color>宴席的必要材料之一,Mở<color='#95d12b'>「Đào Hoa Nguyên Cơ」</color>một trong nguyên liệu quan trọng làm yến hội
<color='#f93dea'>射天后羿</color>星级提升到<color='#007f18'>1星</color>,<color='#f93dea'> Xạ Thiên Hậu Nghệ </color>tăng lên <color='#007f18'>1 sao</color>
转化1/1次装备,Chuyển hóa trang bị 1/1 lần
五绝曲琴,Ngũ Tuyệt Khúc Cầm
紫气东来，宜击杀魔王\n<color=#007f18>外显翅膀、法宝、鲲掉落概率+10%</color>,"Tử khí đông lai, hạ Boss\n<color=#007f18>Tỉ lệ rơi cánh, pháp bảo, cá Côn+10%</color>"
斩杀专属魔王100次(<per>1/100</per>),Hạ BOSS Chuyên Thuộc 100 Lần (<per>1/100</per>)
二转壹篇碎片-甲,Mảnh chuyển 2 trang 1 - VIII
激活后才能修炼,Kích hoạt xong mới có thể tu luyện
活跃战令,Chiến Lệnh Sôi Nổi
笑白,Tiếu Bạch
长生境,Trường Sinh Cảnh
天神币不足,Không đủ Xu Thiên Thần
永夜战场（一）,Vĩnh Dạ Chiến Trường ( Một )
使用可激活图鉴<color='#95d12b'>“欢庆时刻-叁”</color>,Dùng kích hoạt đồ giám <color='#95d12b'>“Thời khắc Chúc Mừng-3”</color>
释放朱雀之怒，每秒对目标范围内<color='#95d12b'>3</color>个目标造成<color='#95d12b'>117.5%</color>伤害，持续<color='#95d12b'>4</color>秒,"Phóng Chu Tước Nộ, mỗi giây tạo cho <color='#95d12b'>3</color> mục tiêu trong phạm vi <color='#95d12b'>117.5%</color> sát thương, trong <color='#95d12b'>4</color>s"
