时装豪礼,Hào Lễ Thời Trang
真气攻击+1800,Công Chân Khí +1800
海棠化形卡,Thẻ Hóa Hình Hải Đường
单服神域,Thần Vực Server
远古圣地,Viễn Cổ Thánh Địa
今日日常活跃值80<color=#$3>($1/$2)</color>,Điểm hoạt bát hàng ngày hôm nay 80<color=#$3>($1/$2)</color>
装备镶嵌后加成：\n<color=#00ff00>攻击+2910\n破甲+1455\n\n</color>可镶嵌在<color=#00ff00>武器、项链、玉佩、手镯、戒指</color>装备上,"Thuộc tính sau khảm: \n<color=#00ff00>Công +2910\nPhá giáp +1455\n\n</color>Có thể khảm lên <color=#00ff00>Khí, Liên, Bội, Trạc, Giới</color>"
提升主人739200点生命15840点防御4.4%生命百分比,"Tăng cho chủ nhân 739200 HP, 15840 Thủ, 4.4% HP"
出生点定位,Định vị điểm sinh ra
鬼泣,Phương Trạch
经过一轮浴血奋战，您不幸被淘汰。,"Trải qua một vòng chiến đấu đẫm máu, bạn không may bị loại."
超级情缘礼包,Lễ Bao Tình Duyên Siêu Cấp
提升主人100点攻击,Tăng cho chủ nhân 100 Công
合成4件天仙套装,Hợp thành 4 Bộ Thiên Tiên
角色等级到达240级,Nhân vật đạt cấp 240
"金蟾献礼奖池将在<color=#00CCFF>15分钟</color>后瓜分,当前奖池元宝数已达<color=#00CCFF>$1</color>元宝！<a href=gototype,6502>[前往查看]</a>","Hồ thưởng Kim Thiềm Hiến Lễ sẽ chia đều thưởng sau <color=#00CCFF>15ph<//color>, số KNB hiện trong hố thưởng đã đạt <color=#00CCFF>$1</color> KNB! <a href=gototype,6502>[Vào Xem]</a>"
神机灵袍·2星,Thần Cơ Linh Bào·2 Sao
